Replicate_ID;Day;Evaluator;Species;Hipv_intensity;Prey_density;Urticae_present;Intensity;Temps_max;Arrived;RH;Temp;treatment
1;12-nov;2;californicus;;0;0;0;;0;78;18,6;C0
2;12-nov;1;californicus;5;;0;1;;0;78;18,6;CA5
3;12-nov;2;californicus;;5;1;3;1800;1;78;18,6;CP5
4;12-nov;3;californicus;;10;1;4;215;1;78;18,6;CP10
5;12-nov;4;californicus;;10;1;4;;0;78;18,6;CP10
6;13-nov;1;californicus;;10;1;4;345;1;79;19,9;CP10
7;13-nov;1;californicus;10;;0;2;;0;79;19,9;CA10
8;13-nov;1;californicus;;5;1;3;;0;79;19,9;CP5
9;13-nov;2;californicus;5;;0;1;551;1;79;20,4;CA5
10;13-nov;2;californicus;5;;0;1;3600;1;78;20,4;CA5
11;13-nov;2;californicus;;5;1;3;;0;78;20;CP5
12;13-nov;2;californicus;;0;0;0;;0;80;21,4;C0
13;13-nov;3;californicus;;0;0;0;;0;81;21,4;C0
14;13-nov;1;californicus;5;;0;1;;0;81;21,4;CA5
15;13-nov;3;californicus;10;;0;2;;0;81;21,4;CA10
16;13-nov;1;californicus;;5;1;3;1500;1;81;21,4;CP5
17;13-nov;3;californicus;10;;0;2;;0;81;21,4;CA10
18;13-nov;4;californicus;10;;0;2;1500;1;81;21,4;CA10
19;14-nov;4;californicus;;0;0;0;;0;80;20,3;C0
20;17-nov;1;californicus;;10;1;4;94;1;66;19;CP10
21;17-nov;1;californicus;;10;1;4;142;1;66;19;CP10
22;17-nov;1;californicus;;10;1;4;336;1;66;19;CP10
23;17-nov;2;californicus;5;;0;1;3600;1;66;20,6;CA5
24;17-nov;3;californicus;5;;0;1;;0;66;19;CA5
25;17-nov;1;californicus;;0;0;0;97;1;66;20,6;C0
26;17-nov;3;californicus;;10;1;4;142;1;66;19;CP10
27;17-nov;4;californicus;;10;1;4;404;1;66;20,6;CP10
28;17-nov;1;californicus;;0;0;0;;0;66;20,6;C0
29;17-nov;3;californicus;5;;0;1;228;1;67;20,6;CA5
30;17-nov;4;californicus;;0;0;0;56;1;67;20,9;C0
31;17-nov;2;californicus;10;;0;2;3600;1;67;21;CA10
32;17-nov;4;californicus;;5;1;3;306;1;67;21;CP5
33;17-nov;1;californicus;;0;0;0;111;1;66;20,8;C0
34;17-nov;1;californicus;;5;1;3;350;1;66;20,8;CP5
35;17-nov;4;californicus;;0;0;0;387;1;66;20,9;C0
36;17-nov;2;californicus;10;;0;2;;0;66;20,9;CA10
37;17-nov;2;californicus;;10;1;4;;0;66;20,9;CP10
38;17-nov;4;californicus;5;;0;1;148;1;66;20,9;CA5
39;17-nov;2;californicus;10;;0;2;1200;1;67;21,1;CA10
40;17-nov;4;californicus;10;;0;2;596;1;67;21,1;CA10
41;17-nov;4;californicus;;10;1;4;900;1;67;21,1;CP10
42;17-nov;4;californicus;10;;0;2;2100;1;67;21,1;CA10
43;17-nov;2;californicus;;5;1;3;;0;67;20,9;CP5
44;17-nov;3;californicus;;0;0;0;;0;67;20,5;C0
45;17-nov;3;californicus;10;;0;2;227;1;67;19,9;CA10
46;17-nov;3;californicus;;5;1;3;1200;1;67;19,9;CP5
47;17-nov;3;californicus;5;;0;1;;0;67;19,9;CA5
48;17-nov;3;californicus;;5;1;3;217;1;67;19,9;CP5
49;19-nov;2;californicus;5;;0;1;1200;1;39;20,2;CA5
50;19-nov;2;californicus;;5;1;3;;0;39;20,2;CP5
51;20-nov;1;persimilis;;0;0;0;165;1;35;21,3;P0
52;20-nov;4;persimilis;;10;1;4;557;1;30;21,3;PP10
53;21-nov;4;persimilis;;5;1;3;46;1;30;19,7;PP5
54;21-nov;4;persimilis;5;;0;1;189;1;30;19,7;PA5
55;21-nov;4;persimilis;;0;0;0;;0;30;19,8;P0
56;21-nov;4;persimilis;;0;0;0;3600;1;30;19,8;P0
57;21-nov;1;persimilis;10;;0;2;1800;1;29;19,8;PA10
58;21-nov;1;persimilis;;5;1;3;;0;29;19,8;PP5
59;21-nov;4;persimilis;;10;1;4;176;1;29;19,8;PP10
60;22-nov;4;persimilis;;0;0;0;;0;25;20,2;P0
61;22-nov;4;persimilis;;10;1;4;3600;1;25;20,2;PP10
62;22-nov;4;persimilis;;10;1;4;;0;25;20,2;PP10
63;23-nov;1;persimilis;;0;0;0;247;1;30;20,5;P0
64;23-nov;1;persimilis;;5;1;3;900;1;30;20,5;PP5
65;24-nov;3;persimilis;10;;0;2;2100;1;58;20,8;PA10
66;24-nov;1;persimilis;10;;0;2;3600;1;58;20,8;PA10
67;24-nov;4;persimilis;5;;0;1;900;1;41;20,9;PA5
68;24-nov;4;persimilis;10;;0;2;;0;41;20,9;PA10
69;26-nov;2;persimilis;10;;0;2;563;1;32;21,5;PA10
70;26-nov;2;persimilis;10;;0;2;51;1;32;21,5;PA10
71;26-nov;2;persimilis;5;;0;1;3600;1;32;21,5;PA5
72;26-nov;2;persimilis;;5;1;3;142;1;32;21,5;PP5
73;27-nov;4;persimilis;10;;0;2;576;1;29;20,8;PA10
74;27-nov;3;persimilis;;10;1;4;169;1;30;20,6;PP10
75;27-nov;3;persimilis;;10;1;4;;0;30;20,6;PP10
76;27-nov;1;persimilis;;10;1;4;;0;30;20,6;PP10
77;27-nov;3;persimilis;;0;0;0;1200;1;30;20,6;P0
78;27-nov;2;persimilis;;5;1;3;900;1;30;20,6;PP5
79;27-nov;2;persimilis;10;;0;2;63;1;30;20,6;PA10
80;27-nov;2;persimilis;;10;1;4;900;1;30;20,6;PP10
81;27-nov;3;persimilis;5;;0;1;132;1;30;20,6;PA5
82;27-nov;2;persimilis;;10;1;4;;0;40;21;PP10
83;27-nov;1;persimilis;;5;1;3;3600;1;40;21;PP5
84;27-nov;3;persimilis;5;;0;1;;0;40;21;PA5
85;28-nov;1;persimilis;10;;0;2;;0;31;19;PA10
86;28-nov;1;persimilis;;5;1;3;1800;1;31;19;PP5
87;28-nov;1;persimilis;5;;0;1;525;1;31;19;PA5
88;28-nov;3;persimilis;;0;0;0;46;1;31;18,8;P0
89;28-nov;3;persimilis;5;;0;1;36;1;31;18,8;PA5
90;28-nov;1;persimilis;;5;1;3;;0;31;18,8;PP5
91;28-nov;3;persimilis;;5;1;3;277;1;31;18,8;PP5
92;28-nov;3;persimilis;;0;0;0;;0;33;18,8;P0
93;28-nov;3;persimilis;5;;0;1;;0;33;18,8;PA5
94;28-nov;3;persimilis;;5;1;3;;0;33;18,8;PP5
95;28-nov;3;persimilis;;0;0;0;;0;35;18,8;P0
96;28-nov;2;persimilis;;0;0;0;90;1;35;19,5;P0
97;28-nov;2;persimilis;5;;0;1;1200;1;35;19,5;PA5
98;28-nov;2;persimilis;10;;0;2;;0;40;19,5;PA10
99;02-déc;4;persimilis;5;;0;1;552;1;40;20,9;PA5
100;02-déc;4;persimilis;;10;1;4;162;1;40;20,9;PP10
